group,label,end_date,rmse_pct,max_deviation_pct,correlation,forward_21d_pct
overall,rank 1,1995-11-16,0.9954330028540188,2.6024865642467754,0.8732329091518993,1.5853567946847669
overall,rank 2,1963-11-04,1.0381754076240515,2.3115136749457976,0.8917129314983447,0.7488128994006304
overall,rank 3,1963-03-20,1.0803158252796436,3.2156792159617753,0.852224675604019,4.973474693661584
overall,rank 4,1964-11-24,1.1316462489683732,2.4615799627909496,0.8456276607838291,-1.8429975145065725
overall,rank 5,1958-03-19,1.1443130472273617,2.7178904677009674,0.8620999196719423,1.4730314317821236
overall,rank 6,1993-02-09,1.1633450809946462,3.5178332328705375,0.8241362100947626,1.883999483847032
overall,rank 7,1964-03-12,1.1953452906194424,2.655770151470249,0.8242884306708542,0.8725275620071526
overall,rank 8,1976-08-24,1.200942638586867,3.2133495496834863,0.8213940969976247,5.579146551957304
overall,rank 9,1992-09-16,1.2110889585352471,2.8771402408079183,0.8295531909681273,-2.4576126391257946
overall,rank 10,1989-03-22,1.2145578478380454,3.224573748508619,0.8828473399931294,6.581980708444024
era,Roaring Twenties boom,1929-06-21,1.9100745007222693,6.130449467815713,0.6317877832535778,8.30202484898306
era,1929 crash,1930-09-18,2.1116318478471294,5.484021886196377,0.7612359901441538,-16.571699238464323
era,Dot-com boom,1997-09-22,1.5000652445055487,3.691486379816644,0.787189771105532,1.763607668825995
era,Dot-com unwind,2002-01-22,1.4682313670130578,3.434117783322199,0.7942254982414456,-3.4271207631305423
era,Global financial crisis,2007-07-05,1.3000212160956597,4.011547374880853,0.7757052136728187,-6.053491827875257
era,Post-GFC bull,2017-02-09,1.2305476552523005,2.9912159315983233,0.8051387982502155,2.8424413066870713
